MatchId,BotType,Result,TimeMs,TotalClicks
346,RandomBot,DEFEAT,0,5
347,RandomBot,DEFEAT,0,3
348,RandomBot,DEFEAT,0,3
349,RandomBot,DEFEAT,0,6
350,RandomBot,DEFEAT,0,3
351,RandomBot,DEFEAT,0,4
352,RandomBot,DEFEAT,0,1
353,RandomBot,DEFEAT,0,8
354,RandomBot,DEFEAT,0,8
355,RandomBot,DEFEAT,0,1
356,RandomBot,DEFEAT,0,4
357,RandomBot,DEFEAT,0,3
358,RandomBot,DEFEAT,0,3
359,RandomBot,DEFEAT,0,2
360,RandomBot,DEFEAT,0,4
361,RandomBot,DEFEAT,0,6
362,RandomBot,DEFEAT,0,6
363,RandomBot,DEFEAT,0,2
364,RandomBot,DEFEAT,0,3
365,RandomBot,DEFEAT,0,6
366,RandomBot,DEFEAT,0,5
367,RandomBot,DEFEAT,0,1
368,RandomBot,DEFEAT,0,4
369,RandomBot,DEFEAT,0,3
370,RandomBot,DEFEAT,0,4
371,RandomBot,DEFEAT,0,4
372,RandomBot,DEFEAT,0,1
373,RandomBot,DEFEAT,0,1
374,RandomBot,DEFEAT,0,2
375,RandomBot,DEFEAT,0,1
376,RandomBot,DEFEAT,0,2
377,RandomBot,DEFEAT,0,6
378,RandomBot,DEFEAT,0,1
379,RandomBot,DEFEAT,0,1
380,RandomBot,DEFEAT,0,3
381,RandomBot,DEFEAT,0,2
382,RandomBot,DEFEAT,0,1
383,RandomBot,DEFEAT,0,5
384,RandomBot,DEFEAT,0,5
385,RandomBot,DEFEAT,0,1
386,RandomBot,DEFEAT,0,1
387,RandomBot,DEFEAT,0,1
388,RandomBot,DEFEAT,0,8
389,RandomBot,DEFEAT,0,2
390,RandomBot,DEFEAT,0,2
391,RandomBot,DEFEAT,0,2
392,RandomBot,DEFEAT,0,5
393,RandomBot,DEFEAT,0,8
394,RandomBot,DEFEAT,0,5
395,RandomBot,DEFEAT,0,5
396,RandomBot,DEFEAT,0,4
397,RandomBot,DEFEAT,0,3
398,RandomBot,DEFEAT,0,5
399,RandomBot,DEFEAT,0,4
400,RandomBot,DEFEAT,0,2
401,RandomBot,DEFEAT,0,2
402,RandomBot,DEFEAT,0,5
403,RandomBot,DEFEAT,0,3
404,RandomBot,DEFEAT,0,4
405,RandomBot,DEFEAT,0,1
406,RandomBot,DEFEAT,0,2
407,RandomBot,DEFEAT,0,3
408,RandomBot,DEFEAT,0,5
409,RandomBot,DEFEAT,0,5
410,RandomBot,DEFEAT,0,3
411,RandomBot,DEFEAT,0,1
412,RandomBot,DEFEAT,0,4
413,RandomBot,DEFEAT,0,2
414,RandomBot,DEFEAT,0,2
415,RandomBot,DEFEAT,0,1
416,RandomBot,DEFEAT,0,1
417,RandomBot,DEFEAT,0,3
418,RandomBot,DEFEAT,0,2
419,RandomBot,DEFEAT,0,5
420,RandomBot,DEFEAT,0,6
421,RandomBot,DEFEAT,0,1
422,RandomBot,DEFEAT,0,1
423,RandomBot,DEFEAT,0,3
424,RandomBot,DEFEAT,0,3
425,RandomBot,DEFEAT,0,1
426,RandomBot,DEFEAT,0,2
427,RandomBot,DEFEAT,0,5
428,RandomBot,DEFEAT,0,2
429,RandomBot,DEFEAT,0,4
430,RandomBot,DEFEAT,0,8
431,RandomBot,DEFEAT,0,1
432,RandomBot,DEFEAT,0,2
433,RandomBot,DEFEAT,0,1
434,RandomBot,DEFEAT,0,10
435,RandomBot,DEFEAT,0,5
436,RandomBot,DEFEAT,0,6
437,RandomBot,DEFEAT,0,5
438,RandomBot,DEFEAT,0,2
439,RandomBot,DEFEAT,0,6
440,RandomBot,DEFEAT,0,9
441,RandomBot,DEFEAT,0,4
442,RandomBot,DEFEAT,0,2
443,RandomBot,DEFEAT,0,2
444,RandomBot,DEFEAT,0,6
445,RandomBot,DEFEAT,0,4
446,RandomBot,DEFEAT,0,1
447,RandomBot,VICTORY,0,6
448,RandomBot,DEFEAT,0,3
449,RandomBot,DEFEAT,0,2
450,RandomBot,DEFEAT,0,3
451,RandomBot,DEFEAT,0,2
452,RandomBot,DEFEAT,0,4
453,RandomBot,DEFEAT,0,2
454,RandomBot,DEFEAT,0,2
455,RandomBot,DEFEAT,0,3
456,RandomBot,DEFEAT,0,5
457,RandomBot,DEFEAT,0,2
458,RandomBot,DEFEAT,0,2
459,RandomBot,DEFEAT,0,3
460,RandomBot,DEFEAT,0,1
461,RandomBot,DEFEAT,0,3
462,RandomBot,DEFEAT,0,3
463,RandomBot,DEFEAT,0,2
464,RandomBot,DEFEAT,0,5
465,RandomBot,DEFEAT,0,3
466,RandomBot,DEFEAT,0,4
467,RandomBot,DEFEAT,0,3
468,RandomBot,DEFEAT,0,5
469,RandomBot,DEFEAT,0,2
470,RandomBot,DEFEAT,0,8
471,RandomBot,DEFEAT,0,3
472,RandomBot,DEFEAT,0,4
473,RandomBot,DEFEAT,0,3
474,RandomBot,DEFEAT,0,3
475,RandomBot,DEFEAT,0,2
476,RandomBot,DEFEAT,0,1
477,RandomBot,DEFEAT,0,3
478,RandomBot,DEFEAT,0,3
479,RandomBot,DEFEAT,0,3
480,RandomBot,DEFEAT,0,6
481,RandomBot,DEFEAT,0,2
482,RandomBot,DEFEAT,0,2
483,RandomBot,DEFEAT,0,4
484,RandomBot,DEFEAT,0,2
485,RandomBot,DEFEAT,0,5
486,RandomBot,DEFEAT,0,3
487,RandomBot,DEFEAT,0,2
488,RandomBot,DEFEAT,0,2
489,RandomBot,DEFEAT,0,7
490,RandomBot,DEFEAT,0,3
491,RandomBot,DEFEAT,0,2
492,RandomBot,DEFEAT,0,3
493,RandomBot,DEFEAT,0,3
494,RandomBot,DEFEAT,0,5
495,RandomBot,DEFEAT,0,6
496,RandomBot,DEFEAT,0,3
497,RandomBot,DEFEAT,0,4
498,RandomBot,DEFEAT,0,3
499,RandomBot,DEFEAT,0,6
500,RandomBot,DEFEAT,1,5
501,RandomBot,DEFEAT,0,6
502,RandomBot,DEFEAT,0,5
503,RandomBot,DEFEAT,0,6
504,RandomBot,DEFEAT,0,7
505,RandomBot,DEFEAT,0,2
506,RandomBot,DEFEAT,0,7
507,RandomBot,DEFEAT,0,10
508,RandomBot,DEFEAT,0,2
509,RandomBot,DEFEAT,0,3
510,RandomBot,DEFEAT,0,6
511,RandomBot,DEFEAT,0,7
512,RandomBot,DEFEAT,0,2
513,RandomBot,DEFEAT,0,5
514,RandomBot,DEFEAT,0,2
515,RandomBot,DEFEAT,0,6
516,RandomBot,DEFEAT,0,4
517,RandomBot,DEFEAT,0,3
518,RandomBot,DEFEAT,0,2
519,RandomBot,VICTORY,0,4
520,RandomBot,DEFEAT,0,2
521,RandomBot,DEFEAT,0,4
522,RandomBot,DEFEAT,0,2
523,RandomBot,DEFEAT,0,5
524,RandomBot,DEFEAT,0,4
525,RandomBot,DEFEAT,0,6
526,RandomBot,DEFEAT,0,3
527,RandomBot,DEFEAT,0,3
528,RandomBot,DEFEAT,0,1
529,RandomBot,DEFEAT,0,2
530,RandomBot,DEFEAT,0,2
531,RandomBot,DEFEAT,0,5
532,RandomBot,DEFEAT,0,2
533,RandomBot,DEFEAT,0,8
534,RandomBot,DEFEAT,0,4
535,RandomBot,DEFEAT,0,3
536,RandomBot,DEFEAT,0,3
537,RandomBot,DEFEAT,0,2
538,RandomBot,DEFEAT,0,3
539,RandomBot,DEFEAT,0,3
540,RandomBot,DEFEAT,0,3
541,RandomBot,DEFEAT,0,11
542,RandomBot,DEFEAT,0,5
543,RandomBot,DEFEAT,0,5
544,RandomBot,DEFEAT,0,1
545,RandomBot,DEFEAT,0,7
546,RandomBot,DEFEAT,0,4
547,RandomBot,DEFEAT,0,5
548,RandomBot,DEFEAT,0,8
549,RandomBot,DEFEAT,0,1
550,RandomBot,DEFEAT,0,3
551,RandomBot,DEFEAT,0,3
552,RandomBot,DEFEAT,0,9
553,RandomBot,DEFEAT,0,1
554,RandomBot,DEFEAT,0,3
555,RandomBot,DEFEAT,0,3
